index,id,browser_id,visit_id,extension_session_uuid,event_ordinal,record_type,change_cause,expiry,is_http_only,is_host_only,is_session,host,is_secure,name,path,value,same_site,first_party_domain,store_id,time_stamp
2821,2822,72313027,2888957472589400,6b8a7e42-c633-420e-9d2c-fc4e638589c4,12380,deleted,overwrite,2021-07-13T12:59:59.000Z,0,0,0,.rubiconproject.com,1,ses15,/,,no_restriction,,firefox-default,2021-07-12T09:46:12.014Z
2822,2823,72313027,2888957472589400,6b8a7e42-c633-420e-9d2c-fc4e638589c4,12381,added-or-changed,explicit,2021-07-13T12:59:59.000Z,0,0,0,.rubiconproject.com,1,ses15,/,,no_restriction,,firefox-default,2021-07-12T09:46:12.018Z
2823,2824,72313027,2888957472589400,6b8a7e42-c633-420e-9d2c-fc4e638589c4,12382,deleted,overwrite,2021-07-13T12:59:59.000Z,0,0,0,.rubiconproject.com,1,vis15,/,365538^2,no_restriction,,firefox-default,2021-07-12T09:46:12.019Z
2824,2825,72313027,2888957472589400,6b8a7e42-c633-420e-9d2c-fc4e638589c4,12383,added-or-changed,explicit,2021-07-13T12:59:59.000Z,0,0,0,.rubiconproject.com,1,vis15,/,365538^2,no_restriction,,firefox-default,2021-07-12T09:46:12.019Z
2825,2826,72313027,2888957472589400,6b8a7e42-c633-420e-9d2c-fc4e638589c4,12384,deleted,overwrite,2022-07-12T09:46:11.000Z,0,0,0,.rubiconproject.com,1,audit,/,1|a/S0CWHDr2wETLVN7DUuPFvMaQ/hI3tb0N5ysZc90AZA0Hp/Kk22ar3WmjdoOTP1h4xzlKgLvCEznT7+Jag0X3rpzdod1j0wLRowF5Dm81LVNHCZNlZXddzpQ7vzkXQ/,no_restriction,,firefox-default,2021-07-12T09:46:12.019Z
2826,2827,72313027,2888957472589400,6b8a7e42-c633-420e-9d2c-fc4e638589c4,12385,added-or-changed,explicit,2022-07-12T09:46:11.000Z,0,0,0,.rubiconproject.com,1,audit,/,1|a/S0CWHDr2wETLVN7DUuPFvMaQ/hI3tb0N5ysZc90AZA0Hp/Kk22ar3WmjdoOTP1h4xzlKgLvCEznT7+Jag0X3rpzdod1j0wLRowF5Dm81LVNHCZNlZXddzpQ7vzkXQ/,no_restriction,,firefox-default,2021-07-12T09:46:12.021Z
2827,2828,72313027,2888957472589400,6b8a7e42-c633-420e-9d2c-fc4e638589c4,12393,deleted,overwrite,2022-07-12T09:46:14.000Z,0,0,0,.openx.net,0,i,/,a7e74e78-25bb-0913-29df-cf4f5932b001|1626082675,no_restriction,,firefox-default,2021-07-12T09:46:14.320Z
2828,2829,72313027,2888957472589400,6b8a7e42-c633-420e-9d2c-fc4e638589c4,12394,added-or-changed,explicit,2022-07-12T09:46:14.000Z,0,0,0,.openx.net,0,i,/,a7e74e78-25bb-0913-29df-cf4f5932b001|1626082675,no_restriction,,firefox-default,2021-07-12T09:46:14.329Z
2829,2830,72313027,2888957472589400,6b8a7e42-c633-420e-9d2c-fc4e638589c4,12395,deleted,overwrite,2022-07-12T09:46:13.000Z,0,0,0,.rubiconproject.com,1,khaos,/,KR085YO1-7-GO04,no_restriction,,firefox-default,2021-07-12T09:46:14.455Z
2830,2831,72313027,2888957472589400,6b8a7e42-c633-420e-9d2c-fc4e638589c4,12396,added-or-changed,explicit,2022-07-12T09:46:13.000Z,0,0,0,.rubiconproject.com,1,khaos,/,KR085YO1-7-GO04,no_restriction,,firefox-default,2021-07-12T09:46:14.457Z
2831,2832,72313027,2888957472589400,6b8a7e42-c633-420e-9d2c-fc4e638589c4,12397,deleted,overwrite,2021-07-13T13:00:01.000Z,0,0,0,.rubiconproject.com,1,ses15,/,,no_restriction,,firefox-default,2021-07-12T09:46:14.459Z
2832,2833,72313027,2888957472589400,6b8a7e42-c633-420e-9d2c-fc4e638589c4,12398,added-or-changed,explicit,2021-07-13T13:00:01.000Z,0,0,0,.rubiconproject.com,1,ses15,/,,no_restriction,,firefox-default,2021-07-12T09:46:14.459Z
2833,2834,72313027,2888957472589400,6b8a7e42-c633-420e-9d2c-fc4e638589c4,12399,deleted,overwrite,2021-07-13T13:00:01.000Z,0,0,0,.rubiconproject.com,1,vis15,/,365538^2,no_restriction,,firefox-default,2021-07-12T09:46:14.460Z
2834,2835,72313027,2888957472589400,6b8a7e42-c633-420e-9d2c-fc4e638589c4,12400,added-or-changed,explicit,2021-07-13T13:00:01.000Z,0,0,0,.rubiconproject.com,1,vis15,/,365538^2,no_restriction,,firefox-default,2021-07-12T09:46:14.461Z
2835,2836,72313027,2888957472589400,6b8a7e42-c633-420e-9d2c-fc4e638589c4,12401,deleted,overwrite,2022-07-12T09:46:13.000Z,0,0,0,.rubiconproject.com,1,audit,/,1|a/S0CWHDr2wETLVN7DUuPFvMaQ/hI3tb0N5ysZc90AZA0Hp/Kk22ar3WmjdoOTP1h4xzlKgLvCEznT7+Jag0X3rpzdod1j0wLRowF5Dm81LVNHCZNlZXddzpQ7vzkXQ/,no_restriction,,firefox-default,2021-07-12T09:46:14.461Z
2836,2837,72313027,2888957472589400,6b8a7e42-c633-420e-9d2c-fc4e638589c4,12402,added-or-changed,explicit,2022-07-12T09:46:13.000Z,0,0,0,.rubiconproject.com,1,audit,/,1|a/S0CWHDr2wETLVN7DUuPFvMaQ/hI3tb0N5ysZc90AZA0Hp/Kk22ar3WmjdoOTP1h4xzlKgLvCEznT7+Jag0X3rpzdod1j0wLRowF5Dm81LVNHCZNlZXddzpQ7vzkXQ/,no_restriction,,firefox-default,2021-07-12T09:46:14.462Z
2837,2838,72313027,2888957472589400,6b8a7e42-c633-420e-9d2c-fc4e638589c4,12403,deleted,overwrite,2021-10-10T09:46:14.000Z,1,0,0,.adnxs.com,1,uuid2,/,2289860244098089541,no_restriction,,firefox-default,2021-07-12T09:46:14.610Z
2838,2839,72313027,2888957472589400,6b8a7e42-c633-420e-9d2c-fc4e638589c4,12404,added-or-changed,explicit,2021-10-10T09:46:14.000Z,1,0,0,.adnxs.com,1,uuid2,/,2289860244098089541,no_restriction,,firefox-default,2021-07-12T09:46:14.610Z
2839,2840,72313027,2888957472589400,6b8a7e42-c633-420e-9d2c-fc4e638589c4,12587,deleted,overwrite,2022-07-12T09:46:19.000Z,0,0,0,.casalemedia.com,0,CMID,/,YOvdYnHkJalwYJOn12KolwAA,no_restriction,,firefox-default,2021-07-12T09:46:19.632Z
2840,2841,72313027,2888957472589400,6b8a7e42-c633-420e-9d2c-fc4e638589c4,12588,added-or-changed,explicit,2022-07-12T09:46:19.000Z,0,0,0,.casalemedia.com,0,CMID,/,YOvdYnHkJalwYJOn12KolwAA,no_restriction,,firefox-default,2021-07-12T09:46:19.633Z
2841,2842,72313027,2888957472589400,6b8a7e42-c633-420e-9d2c-fc4e638589c4,12593,deleted,overwrite,2021-10-10T09:46:19.000Z,1,0,0,.adnxs.com,1,uuid2,/,2289860244098089541,no_restriction,,firefox-default,2021-07-12T09:46:19.893Z
2842,2843,72313027,2888957472589400,6b8a7e42-c633-420e-9d2c-fc4e638589c4,12594,added-or-changed,explicit,2021-10-10T09:46:19.000Z,1,0,0,.adnxs.com,1,uuid2,/,2289860244098089541,no_restriction,,firefox-default,2021-07-12T09:46:19.893Z
2843,2844,72313027,2888957472589400,6b8a7e42-c633-420e-9d2c-fc4e638589c4,12595,deleted,overwrite,2022-07-12T09:46:19.000Z,0,0,0,.openx.net,0,i,/,a7e74e78-25bb-0913-29df-cf4f5932b001|1626082675,no_restriction,,firefox-default,2021-07-12T09:46:19.953Z
2844,2845,72313027,2888957472589400,6b8a7e42-c633-420e-9d2c-fc4e638589c4,12596,added-or-changed,explicit,2022-07-12T09:46:19.000Z,0,0,0,.openx.net,0,i,/,a7e74e78-25bb-0913-29df-cf4f5932b001|1626082675,no_restriction,,firefox-default,2021-07-12T09:46:19.961Z
2845,2846,72313027,2888957472589400,6b8a7e42-c633-420e-9d2c-fc4e638589c4,12601,deleted,overwrite,2022-07-12T09:46:20.000Z,0,0,0,.rubiconproject.com,1,khaos,/,KR085YO1-7-GO04,no_restriction,,firefox-default,2021-07-12T09:46:20.441Z
2846,2847,72313027,2888957472589400,6b8a7e42-c633-420e-9d2c-fc4e638589c4,12602,added-or-changed,explicit,2022-07-12T09:46:20.000Z,0,0,0,.rubiconproject.com,1,khaos,/,KR085YO1-7-GO04,no_restriction,,firefox-default,2021-07-12T09:46:20.442Z
2847,2848,72313027,2888957472589400,6b8a7e42-c633-420e-9d2c-fc4e638589c4,12603,deleted,overwrite,2021-07-13T12:59:59.000Z,0,0,0,.rubiconproject.com,1,ses15,/,,no_restriction,,firefox-default,2021-07-12T09:46:20.442Z
2848,2849,72313027,2888957472589400,6b8a7e42-c633-420e-9d2c-fc4e638589c4,12604,added-or-changed,explicit,2021-07-13T12:59:59.000Z,0,0,0,.rubiconproject.com,1,ses15,/,,no_restriction,,firefox-default,2021-07-12T09:46:20.443Z
2849,2850,72313027,2888957472589400,6b8a7e42-c633-420e-9d2c-fc4e638589c4,12605,deleted,overwrite,2021-07-13T12:59:59.000Z,0,0,0,.rubiconproject.com,1,vis15,/,365538^3,no_restriction,,firefox-default,2021-07-12T09:46:20.444Z
2850,2851,72313027,2888957472589400,6b8a7e42-c633-420e-9d2c-fc4e638589c4,12606,added-or-changed,explicit,2021-07-13T12:59:59.000Z,0,0,0,.rubiconproject.com,1,vis15,/,365538^3,no_restriction,,firefox-default,2021-07-12T09:46:20.444Z
2851,2852,72313027,2888957472589400,6b8a7e42-c633-420e-9d2c-fc4e638589c4,12607,deleted,overwrite,2022-07-12T09:46:20.000Z,0,0,0,.rubiconproject.com,1,audit,/,1|a/S0CWHDr2wETLVN7DUuPFvMaQ/hI3tb0N5ysZc90AZA0Hp/Kk22ar3WmjdoOTP1qaQ7ErU5JqgznT7+Jag0X3rpzdod1j0wLRowF5Dm81LVNHCZNlZXddzpQ7vzkXQ/,no_restriction,,firefox-default,2021-07-12T09:46:20.452Z
2852,2853,72313027,2888957472589400,6b8a7e42-c633-420e-9d2c-fc4e638589c4,12608,added-or-changed,explicit,2022-07-12T09:46:20.000Z,0,0,0,.rubiconproject.com,1,audit,/,1|a/S0CWHDr2wETLVN7DUuPFvMaQ/hI3tb0N5ysZc90AZA0Hp/Kk22ar3WmjdoOTP1qaQ7ErU5JqgznT7+Jag0X3rpzdod1j0wLRowF5Dm81LVNHCZNlZXddzpQ7vzkXQ/,no_restriction,,firefox-default,2021-07-12T09:46:20.452Z
2853,2854,72313027,2888957472589400,6b8a7e42-c633-420e-9d2c-fc4e638589c4,12614,deleted,overwrite,2022-07-12T09:46:21.000Z,0,0,0,.openx.net,0,i,/,a7e74e78-25bb-0913-29df-cf4f5932b001|1626082675,no_restriction,,firefox-default,2021-07-12T09:46:22.233Z
2854,2855,72313027,2888957472589400,6b8a7e42-c633-420e-9d2c-fc4e638589c4,12615,added-or-changed,explicit,2022-07-12T09:46:21.000Z,0,0,0,.openx.net,0,i,/,a7e74e78-25bb-0913-29df-cf4f5932b001|1626082675,no_restriction,,firefox-default,2021-07-12T09:46:22.242Z
2855,2856,72313027,2888957472589400,6b8a7e42-c633-420e-9d2c-fc4e638589c4,12616,deleted,overwrite,2021-10-10T09:46:22.000Z,1,0,0,.adnxs.com,1,uuid2,/,2289860244098089541,no_restriction,,firefox-default,2021-07-12T09:46:22.497Z
2856,2857,72313027,2888957472589400,6b8a7e42-c633-420e-9d2c-fc4e638589c4,12617,added-or-changed,explicit,2021-10-10T09:46:22.000Z,1,0,0,.adnxs.com,1,uuid2,/,2289860244098089541,no_restriction,,firefox-default,2021-07-12T09:46:22.497Z
2857,2858,72313027,2888957472589400,6b8a7e42-c633-420e-9d2c-fc4e638589c4,12618,deleted,overwrite,2022-07-12T09:46:22.000Z,0,0,0,.rubiconproject.com,1,khaos,/,KR085YO1-7-GO04,no_restriction,,firefox-default,2021-07-12T09:46:22.500Z
2858,2859,72313027,2888957472589400,6b8a7e42-c633-420e-9d2c-fc4e638589c4,12619,added-or-changed,explicit,2022-07-12T09:46:22.000Z,0,0,0,.rubiconproject.com,1,khaos,/,KR085YO1-7-GO04,no_restriction,,firefox-default,2021-07-12T09:46:22.500Z
2859,2860,72313027,2888957472589400,6b8a7e42-c633-420e-9d2c-fc4e638589c4,12620,deleted,overwrite,2021-07-13T13:00:01.000Z,0,0,0,.rubiconproject.com,1,ses15,/,,no_restriction,,firefox-default,2021-07-12T09:46:22.501Z
2860,2861,72313027,2888957472589400,6b8a7e42-c633-420e-9d2c-fc4e638589c4,12621,added-or-changed,explicit,2021-07-13T13:00:01.000Z,0,0,0,.rubiconproject.com,1,ses15,/,,no_restriction,,firefox-default,2021-07-12T09:46:22.501Z
2861,2862,72313027,2888957472589400,6b8a7e42-c633-420e-9d2c-fc4e638589c4,12622,deleted,overwrite,2021-07-13T13:00:01.000Z,0,0,0,.rubiconproject.com,1,vis15,/,365538^3,no_restriction,,firefox-default,2021-07-12T09:46:22.502Z
2862,2863,72313027,2888957472589400,6b8a7e42-c633-420e-9d2c-fc4e638589c4,12623,added-or-changed,explicit,2021-07-13T13:00:01.000Z,0,0,0,.rubiconproject.com,1,vis15,/,365538^3,no_restriction,,firefox-default,2021-07-12T09:46:22.502Z
