index,id,browser_id,visit_id,extension_session_uuid,event_ordinal,record_type,change_cause,expiry,is_http_only,is_host_only,is_session,host,is_secure,name,path,value,same_site,first_party_domain,store_id,time_stamp
24,25,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,97,added-or-changed,explicit,2023-07-09T19:00:35.000Z,0,1,0,www.travelandleisure.com,0,request_id,/,4bd891f7-5e8f-41cc-8bce-3df8c150c738,no_restriction,,firefox-default,2021-07-09T19:00:35.433Z
25,26,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,98,added-or-changed,explicit,2023-07-09T19:00:35.000Z,0,1,0,www.travelandleisure.com,0,previous_ts,/,,no_restriction,,firefox-default,2021-07-09T19:00:35.442Z
26,27,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,99,added-or-changed,explicit,2023-07-09T19:00:35.000Z,0,1,0,www.travelandleisure.com,0,visit_ts,/,1625857235432,no_restriction,,firefox-default,2021-07-09T19:00:35.444Z
27,28,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,100,added-or-changed,explicit,2023-07-09T19:00:35.000Z,0,1,0,www.travelandleisure.com,0,pageview_count,/,1,no_restriction,,firefox-default,2021-07-09T19:00:35.445Z
28,29,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,124,deleted,overwrite,2022-07-09T19:00:35.000Z,0,0,0,.travelandleisure.com,0,ajs_anonymous_id,/,%227af5714f-9da1-43c6-8f56-81d529eb936a%22,lax,,firefox-default,2021-07-09T19:00:35.866Z
29,30,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,125,added-or-changed,explicit,2022-07-09T19:00:35.000Z,0,0,0,.travelandleisure.com,0,ajs_anonymous_id,/,%227af5714f-9da1-43c6-8f56-81d529eb936a%22,lax,,firefox-default,2021-07-09T19:00:35.866Z
30,31,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,127,added-or-changed,explicit,2023-07-09T19:00:35.000Z,0,0,0,.travelandleisure.com,0,globalTI_SID,/,85ff70bc-27ad-4c08-9a86-3387cead117e,no_restriction,,firefox-default,2021-07-09T19:00:35.898Z
31,32,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,128,added-or-changed,explicit,2023-07-09T19:00:35.000Z,0,0,0,.travelandleisure.com,0,last_request_id,/,,no_restriction,,firefox-default,2021-07-09T19:00:35.899Z
32,33,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,129,added-or-changed,explicit,2023-07-09T19:00:35.000Z,0,0,0,.travelandleisure.com,0,visit_ts,/,1625857235432,no_restriction,,firefox-default,2021-07-09T19:00:35.899Z
33,34,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,130,added-or-changed,explicit,2023-07-09T19:00:35.000Z,0,0,0,.travelandleisure.com,0,previous_ts,/,,no_restriction,,firefox-default,2021-07-09T19:00:35.902Z
34,35,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,131,added-or-changed,explicit,2023-07-09T19:00:35.000Z,0,0,0,.travelandleisure.com,0,pageview_count,/,1,no_restriction,,firefox-default,2021-07-09T19:00:35.902Z
35,36,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,132,added-or-changed,explicit,2023-07-09T19:00:35.000Z,0,0,0,.travelandleisure.com,0,muuid_origin,/,travelandleisure.com,no_restriction,,firefox-default,2021-07-09T19:00:35.903Z
36,37,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,133,added-or-changed,explicit,2022-07-09T19:00:35.000Z,0,0,0,.casalemedia.com,0,CMID,/,YOic0zGSR2CIeCSOwgl0aAAA,no_restriction,,firefox-default,2021-07-09T19:00:35.919Z
37,38,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,134,added-or-changed,explicit,2021-07-10T19:00:35.000Z,0,0,0,.casalemedia.com,0,CMST,/,YOic02DonNMB,no_restriction,,firefox-default,2021-07-09T19:00:35.919Z
38,39,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,135,added-or-changed,explicit,2021-07-10T19:00:35.000Z,0,0,0,.casalemedia.com,0,CMDD,/,AAQy6wE*,no_restriction,,firefox-default,2021-07-09T19:00:35.920Z
39,40,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,149,added-or-changed,explicit,2022-07-09T19:00:36.000Z,0,0,0,.rubiconproject.com,1,khaos,/,KQWPF498-1S-DRX3,no_restriction,,firefox-default,2021-07-09T19:00:36.368Z
40,41,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,150,added-or-changed,explicit,9999-12-31T21:59:59.000Z,0,0,1,.rubiconproject.com,1,rsid,/,1|ANC8KlQB4OKQSymj0t0yOx/joYVQJLbTgSt9DPryVVAkwcHUUjOwL8KfY9WNi+nNKRiutjmpYWapHijUWCf/K1mqngZXuVYFyhwoY9zWC097/wWnYPMdYvqpGPCHYzCVAaSZnH98NC/vyfZeYcd9hcpCB4fw,no_restriction,,firefox-default,2021-07-09T19:00:36.368Z
41,42,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,151,added-or-changed,explicit,2021-07-10T12:59:59.000Z,0,0,0,.rubiconproject.com,1,ses2,/,365536^1,no_restriction,,firefox-default,2021-07-09T19:00:36.369Z
42,43,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,152,added-or-changed,explicit,2021-07-10T12:59:59.000Z,0,0,0,.rubiconproject.com,1,vis2,/,365536^1,no_restriction,,firefox-default,2021-07-09T19:00:36.369Z
43,44,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,153,added-or-changed,explicit,2022-07-09T19:00:36.000Z,0,0,0,.rubiconproject.com,1,audit,/,1|mFVHqHkj5bHEpTHMa1kxbDxATf0UzBF4w2VpjHOH36LRv8OywRaL4DOdPv4lqDRfeunN2h3WPTAiPnBiMlBpvxwcea/b3NSzka34QzI36l4=,no_restriction,,firefox-default,2021-07-09T19:00:36.370Z
44,45,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,154,added-or-changed,explicit,2021-07-10T12:59:59.000Z,0,0,0,.rubiconproject.com,1,ses15,/,,no_restriction,,firefox-default,2021-07-09T19:00:36.370Z
45,46,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,155,added-or-changed,explicit,2021-07-10T12:59:59.000Z,0,0,0,.rubiconproject.com,1,vis15,/,365536^1,no_restriction,,firefox-default,2021-07-09T19:00:36.370Z
46,47,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,169,added-or-changed,explicit,2021-10-07T19:00:36.000Z,1,0,0,.adnxs.com,1,icu,/,ChgImax3EAoYASABKAEw1LmihwY4AUABSAEQ1LmihwYYAA..,no_restriction,,firefox-default,2021-07-09T19:00:36.499Z
47,48,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,170,added-or-changed,explicit,2021-10-07T19:00:36.000Z,1,0,0,.adnxs.com,1,uuid2,/,7046559900788753700,no_restriction,,firefox-default,2021-07-09T19:00:36.509Z
48,49,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,171,added-or-changed,explicit,2022-07-09T19:00:36.000Z,0,0,0,.openx.net,0,i,/,46797804-9261-0357-1dde-495c26ef8114|1625857236,no_restriction,,firefox-default,2021-07-09T19:00:36.521Z
49,50,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,172,deleted,overwrite,2023-07-09T19:00:36.000Z,0,0,0,.travelandleisure.com,0,globalTI_SID,/,85ff70bc-27ad-4c08-9a86-3387cead117e,no_restriction,,firefox-default,2021-07-09T19:00:37.211Z
50,51,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,173,added-or-changed,explicit,2023-07-09T19:00:36.000Z,0,0,0,.travelandleisure.com,0,globalTI_SID,/,85ff70bc-27ad-4c08-9a86-3387cead117e,no_restriction,,firefox-default,2021-07-09T19:00:37.213Z
51,52,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,174,deleted,overwrite,2023-07-09T19:00:36.000Z,0,0,0,.travelandleisure.com,0,last_request_id,/,,no_restriction,,firefox-default,2021-07-09T19:00:37.215Z
52,53,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,175,added-or-changed,explicit,2023-07-09T19:00:36.000Z,0,0,0,.travelandleisure.com,0,last_request_id,/,,no_restriction,,firefox-default,2021-07-09T19:00:37.216Z
53,54,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,176,deleted,overwrite,2023-07-09T19:00:36.000Z,0,0,0,.travelandleisure.com,0,visit_ts,/,1625857235432,no_restriction,,firefox-default,2021-07-09T19:00:37.222Z
54,55,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,177,added-or-changed,explicit,2023-07-09T19:00:36.000Z,0,0,0,.travelandleisure.com,0,visit_ts,/,1625857235432,no_restriction,,firefox-default,2021-07-09T19:00:37.238Z
55,56,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,178,deleted,overwrite,2023-07-09T19:00:36.000Z,0,0,0,.travelandleisure.com,0,previous_ts,/,,no_restriction,,firefox-default,2021-07-09T19:00:37.253Z
56,57,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,179,added-or-changed,explicit,2023-07-09T19:00:36.000Z,0,0,0,.travelandleisure.com,0,previous_ts,/,,no_restriction,,firefox-default,2021-07-09T19:00:37.255Z
57,58,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,180,deleted,overwrite,2023-07-09T19:00:36.000Z,0,0,0,.travelandleisure.com,0,pageview_count,/,1,no_restriction,,firefox-default,2021-07-09T19:00:37.257Z
58,59,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,181,added-or-changed,explicit,2023-07-09T19:00:36.000Z,0,0,0,.travelandleisure.com,0,pageview_count,/,1,no_restriction,,firefox-default,2021-07-09T19:00:37.261Z
59,60,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,182,deleted,overwrite,2023-07-09T19:00:36.000Z,0,0,0,.travelandleisure.com,0,muuid_origin,/,travelandleisure.com,no_restriction,,firefox-default,2021-07-09T19:00:37.262Z
60,61,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,183,added-or-changed,explicit,2023-07-09T19:00:36.000Z,0,0,0,.travelandleisure.com,0,muuid_origin,/,travelandleisure.com,no_restriction,,firefox-default,2021-07-09T19:00:37.263Z
61,62,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,184,deleted,overwrite,2023-07-09T19:00:36.000Z,0,1,0,www.travelandleisure.com,0,muuid_source,/,SERVER,no_restriction,,firefox-default,2021-07-09T19:00:37.275Z
62,63,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,185,added-or-changed,explicit,2023-07-09T19:00:36.000Z,0,1,0,www.travelandleisure.com,0,muuid_source,/,SERVER,no_restriction,,firefox-default,2021-07-09T19:00:37.295Z
63,64,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,194,added-or-changed,explicit,2022-07-09T19:00:36.000Z,0,0,0,.rkdms.com,1,sessionid,/,h-18c717d908784a139c144b8efb46edee_t-1625857236,no_restriction,,firefox-default,2021-07-09T19:00:37.403Z
64,65,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,197,deleted,overwrite,2022-07-09T19:00:37.000Z,0,0,0,.rubiconproject.com,1,khaos,/,KQWPF498-1S-DRX3,no_restriction,,firefox-default,2021-07-09T19:00:37.476Z
65,66,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,198,added-or-changed,explicit,2022-07-09T19:00:37.000Z,0,0,0,.rubiconproject.com,1,khaos,/,KQWPF498-1S-DRX3,no_restriction,,firefox-default,2021-07-09T19:00:37.477Z
66,67,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,199,deleted,overwrite,2021-07-10T13:00:00.000Z,0,0,0,.rubiconproject.com,1,ses2,/,365536^1,no_restriction,,firefox-default,2021-07-09T19:00:37.477Z
67,68,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,200,added-or-changed,explicit,2021-07-10T13:00:00.000Z,0,0,0,.rubiconproject.com,1,ses2,/,365536^1,no_restriction,,firefox-default,2021-07-09T19:00:37.477Z
68,69,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,201,deleted,overwrite,2021-07-10T13:00:00.000Z,0,0,0,.rubiconproject.com,1,vis2,/,365536^1,no_restriction,,firefox-default,2021-07-09T19:00:37.478Z
69,70,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,202,added-or-changed,explicit,2021-07-10T13:00:00.000Z,0,0,0,.rubiconproject.com,1,vis2,/,365536^1,no_restriction,,firefox-default,2021-07-09T19:00:37.478Z
70,71,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,203,deleted,overwrite,2022-07-09T19:00:37.000Z,0,0,0,.rubiconproject.com,1,audit,/,1|mFVHqHkj5bHEpTHMa1kxbDxATf0UzBF4w2VpjHOH36LRv8OywRaL4DOdPv4lqDRfeunN2h3WPTAiPnBiMlBpvxwcea/b3NSzka34QzI36l4=,no_restriction,,firefox-default,2021-07-09T19:00:37.478Z
71,72,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,204,added-or-changed,explicit,2022-07-09T19:00:37.000Z,0,0,0,.rubiconproject.com,1,audit,/,1|mFVHqHkj5bHEpTHMa1kxbDxATf0UzBF4w2VpjHOH36LRv8OywRaL4DOdPv4lqDRfeunN2h3WPTAiPnBiMlBpvxwcea/b3NSzka34QzI36l4=,no_restriction,,firefox-default,2021-07-09T19:00:37.479Z
72,73,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,205,deleted,overwrite,2021-07-10T13:00:00.000Z,0,0,0,.rubiconproject.com,1,ses15,/,,no_restriction,,firefox-default,2021-07-09T19:00:37.479Z
73,74,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,206,added-or-changed,explicit,2021-07-10T13:00:00.000Z,0,0,0,.rubiconproject.com,1,ses15,/,,no_restriction,,firefox-default,2021-07-09T19:00:37.479Z
74,75,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,207,deleted,overwrite,2021-07-10T13:00:00.000Z,0,0,0,.rubiconproject.com,1,vis15,/,365536^1,no_restriction,,firefox-default,2021-07-09T19:00:37.480Z
75,76,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,208,added-or-changed,explicit,2021-07-10T13:00:00.000Z,0,0,0,.rubiconproject.com,1,vis15,/,365536^1,no_restriction,,firefox-default,2021-07-09T19:00:37.480Z
76,77,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,209,deleted,overwrite,2021-10-07T19:00:37.000Z,1,0,0,.adnxs.com,1,icu,/,ChgImax3EAoYASABKAEw1LmihwY4AUABSAEQ1LmihwYYAA..,no_restriction,,firefox-default,2021-07-09T19:00:37.481Z
77,78,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,210,added-or-changed,explicit,2021-10-07T19:00:37.000Z,1,0,0,.adnxs.com,1,icu,/,ChgImax3EAoYASABKAEw1LmihwY4AUABSAEQ1LmihwYYAA..,no_restriction,,firefox-default,2021-07-09T19:00:37.481Z
78,79,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,211,deleted,overwrite,2021-10-07T19:00:37.000Z,1,0,0,.adnxs.com,1,uuid2,/,7046559900788753700,no_restriction,,firefox-default,2021-07-09T19:00:37.482Z
79,80,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,212,added-or-changed,explicit,2021-10-07T19:00:37.000Z,1,0,0,.adnxs.com,1,uuid2,/,7046559900788753700,no_restriction,,firefox-default,2021-07-09T19:00:37.482Z
80,81,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,213,deleted,overwrite,2022-07-09T19:00:37.000Z,0,0,0,.openx.net,0,i,/,46797804-9261-0357-1dde-495c26ef8114|1625857236,no_restriction,,firefox-default,2021-07-09T19:00:37.483Z
81,82,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,214,added-or-changed,explicit,2022-07-09T19:00:37.000Z,0,0,0,.openx.net,0,i,/,46797804-9261-0357-1dde-495c26ef8114|1625857236,no_restriction,,firefox-default,2021-07-09T19:00:37.483Z
82,83,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,215,added-or-changed,explicit,2021-07-16T19:00:37.000Z,0,1,0,www.travelandleisure.com,0,travelandleisurecssFont0-2,/,https://www.travelandleisure.com/dist/cardillacWoff2.css,no_restriction,,firefox-default,2021-07-09T19:00:37.483Z
83,84,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,246,added-or-changed,explicit,2021-07-09T19:01:09.000Z,0,0,0,.travelandleisure.com,0,AMP_TOKEN,/,%24RETRIEVING,no_restriction,,firefox-default,2021-07-09T19:00:39.506Z
84,85,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,248,deleted,overwrite,2022-07-09T19:00:39.000Z,0,0,0,.travelandleisure.com,0,ajs_anonymous_id,/,%227af5714f-9da1-43c6-8f56-81d529eb936a%22,lax,,firefox-default,2021-07-09T19:00:39.760Z
85,86,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,249,added-or-changed,explicit,2022-07-09T19:00:39.000Z,0,0,0,.travelandleisure.com,0,ajs_anonymous_id,/,%227af5714f-9da1-43c6-8f56-81d529eb936a%22,lax,,firefox-default,2021-07-09T19:00:39.760Z
86,87,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,251,added-or-changed,explicit,2021-10-07T19:00:39.000Z,0,0,0,.travelandleisure.com,0,_gcl_au,/,1.1.1477053134.1625857240,no_restriction,,firefox-default,2021-07-09T19:00:39.841Z
