index,id,incognito,browser_id,visit_id,extension_session_uuid,event_ordinal,window_id,tab_id,frame_id,url,method,response_status,response_status_text,is_cached,headers,request_id,location,time_stamp,content_hash
0,1,0,718011058,3440779644236795,4cd3ee81-0a00-49bf-9a96-90f307a91abb,17,1.0,1,0,https://www.ncl.com/,GET,200,HTTP/2.0 200 OK,0,"[[""referrer-policy"",""origin-when-cross-origin, strict-origin-when-cross-origin""],[""x-frame-options"",""DENY""],[""x-xss-protection"",""1; mode=block""],[""x-content-type-options"",""nosniff""],[""x-permitted-cross-domain-policies"",""master-only""],[""content-type"",""text/html; charset=UTF-8""],[""content-encoding"",""gzip""],[""x-akamai-transformed"",""9 19137 0 pmb=mNONE,1mTOE,9mRUM,2""],[""expires"",""Wed, 14 Jul 2021 05:22:51 GMT""],[""cache-control"",""max-age=0, no-cache, no-store""],[""pragma"",""no-cache""],[""date"",""Wed, 14 Jul 2021 05:22:51 GMT""],[""content-length"",""22873""],[""vary"",""Accept-Encoding""],[""set-cookie"",""optimizelyEndUserId=2f9511602b430000ab74ee605d000000d4a70000; expires=Mon, 10-Jan-2022 05:22:51 GMT; path=/; domain=.ncl.com; secure; SameSite=None\nak_location=US,IA,IOWACITY,637; expires=Wed, 21-Jul-2021 05:22:51 GMT; path=/; domain=.ncl.com; secure\nNcl_region=IA; expires=Wed, 21-Jul-2021 05:22:51 GMT; path=/; domain=.ncl.com; secure\nak_country=USA; expires=Wed, 21-Jul-2021 05:22:51 GMT; path=/; secure\nAkaUTrackingID=173.27.3.190104.71.221.1621626240171Mozilla/5.0 (Android 11; Mobile; rv:68.0) Gecko/68.0 Firefox/89.0/TeaLeafLongTokenGeneration; expires=Mon, 17-Jul-2028 05:22:51 GMT; path=/; HttpOnly; domain=.ncl.com; secure\nAkaSTrackingID=173.27.3.190104.71.221.1621626240171Mozilla/5.0 (Android 11; Mobile; rv:68.0) Gecko/68.0 Firefox/89.0/TeaLeafLongTokenGeneration; path=/; HttpOnly; domain=.ncl.com; secure\nak_long=-91.4517; path=/; domain=.ncl.com; secure\nak_lat=41.6899; path=/; domain=.ncl.com; secure\nncl_dark_prod=true; expires=Mon, 31-Dec-2038 23:59:59 GMT; path=/; domain=.ncl.com; secure\nbm_mi=25A859FA63777BC239B8899B0C1834F7~miS0froIArcbFjpLoLK9JDNQWy5trkMmbjqhFONzU3dYRumecmF/OqIRLgajSGjNNl38q3QQnBLShLeAha4dWNrzGoRk1fhEAa7yWhDlPN23fRQfNXZljpwh5IA6/KWtklOk53rzJz/LZ6Z87UKXxyf2Zfovu0OaphLJgj2B70gqKQHWvncUKXwN+xzIkptSrW0SoZcejaDiu/d/6qon8Q==; Domain=.ncl.com; Path=/; Max-Age=0; HttpOnly\nak_bmsc=84B2D3DB7BE19F9BF7084CCA25F4396F~000000000000000000000000000000~YAAQL5URYArrVpt6AQAAVbx3owzrqbC3CjeABHhAhYGaeEAawMpg/7ykcQlFakBVpuN6O5hGf+/rFyE6HHnDn9CpPf5H+VuXDh3kobdaWyWxGGI+/tB7OFl0mQb/wzod2DpzDnyqpd3lfP8530h+aLTJzKfoyoj+CPkixj/CD8Vqrk0XOQP73HXJmT9RlFVAzUoP+KIrI7op6/fFAklixVGSJWmub85xCRHTZEg56RnMpksnNKepgZt8B+81amvO+nAAy2VHY8d5ZGWZjXLB9KvL6n/cyx/bOBkpdYi+YgK7R61hXhnoYRP9jEeblVlpUofwjlVGrzUjZn1CF2bSfsjq4a3fzFu+uz8KO8bJs7g/aMCCtjoywpJkYe/YINeR7Oaa2s6f; Domain=.ncl.com; Path=/; Expires=Wed, 14 Jul 2021 07:22:51 GMT; Max-Age=7200; HttpOnly""],[""server-timing"",""cdn-cache; desc=HIT, edge; dur=37""],[""x-akam-sw-version"",""0.5.0""],[""access-control-max-age"",""86400""],[""access-control-allow-credentials"",""false""],[""access-control-allow-headers"",""*""],[""access-control-allow-methods"",""GET,POST""],[""access-control-allow-origin"",""*""],[""strict-transport-security"",""max-age=31536000 ; includeSubDomains ; preload""],[""X-Firefox-Spdy"",""h2""]]",13,,2021-07-14T05:22:51.294Z,47a18e29c1f5fe32e6fa9158d9a97c7642a86aaea07926289984307041913a5e
1,2,0,718011058,3440779644236795,4cd3ee81-0a00-49bf-9a96-90f307a91abb,89,1.0,1,0,https://www.ncl.com/static/scripts/ncl.transition.libraries.js?v=1626184979267,GET,200,HTTP/2.0 200 OK,0,"[[""content-type"",""text/javascript""],[""accept-ranges"",""bytes""],[""content-encoding"",""br""],[""last-modified"",""Tue, 13 Jul 2021 14:10:26 GMT""],[""server"",""Akamai Resource Optimizer""],[""x-frame-options"",""SAMEORIGIN""],[""x-ncl-slog"",""(null)""],[""content-length"",""8438""],[""cache-control"",""max-age=2592000""],[""expires"",""Fri, 13 Aug 2021 05:22:51 GMT""],[""date"",""Wed, 14 Jul 2021 05:22:51 GMT""],[""set-cookie"",""optimizelyEndUserId=2f9511602b430000ab74ee605d000000d4a70000; expires=Mon, 10-Jan-2022 05:22:51 GMT; path=/; domain=.ncl.com; secure; SameSite=None""],[""server-timing"",""cdn-cache; desc=HIT, edge; dur=1""],[""access-control-max-age"",""86400""],[""access-control-allow-credentials"",""false""],[""access-control-allow-headers"",""*""],[""access-control-allow-methods"",""GET,POST""],[""access-control-allow-origin"",""*""],[""strict-transport-security"",""max-age=31536000 ; includeSubDomains ; preload""],[""X-Firefox-Spdy"",""h2""]]",18,,2021-07-14T05:22:52.445Z,23bc2da2ee2639ee570c2aeccbbdcc3e76a75eaefe3dc946e29f50ce685a42d0
2,3,0,718011058,3440779644236795,4cd3ee81-0a00-49bf-9a96-90f307a91abb,90,1.0,1,0,https://tags.tiqcdn.com/utag/ncl/main/prod/utag.sync.js,GET,200,HTTP/2.0 200 OK,0,"[[""accept-ranges"",""bytes""],[""content-type"",""application/x-javascript""],[""etag"",""\""e465918e2de9a5179a0c15271103b81a:1625840987.592476\""""],[""last-modified"",""Fri, 09 Jul 2021 14:29:47 GMT""],[""server"",""AkamaiNetStorage""],[""vary"",""Accept-Encoding""],[""content-encoding"",""gzip""],[""cache-control"",""max-age=300""],[""expires"",""Wed, 14 Jul 2021 05:27:52 GMT""],[""date"",""Wed, 14 Jul 2021 05:22:52 GMT""],[""content-length"",""1964""],[""X-Firefox-Spdy"",""h2""]]",20,,2021-07-14T05:22:52.483Z,ccbbeb80e47cbb739704bb836d23f94debab3d167ca927e4e6137b3cfe4945d5
3,4,0,718011058,3440779644236795,4cd3ee81-0a00-49bf-9a96-90f307a91abb,91,1.0,1,0,https://www.ncl.com/assets/v1/images/logos/logo-ncl-shield.svg,GET,200,HTTP/2.0 200 OK,0,"[[""content-type"",""image/svg+xml""],[""accept-ranges"",""bytes""],[""content-encoding"",""br""],[""last-modified"",""Sat, 10 Jul 2021 21:17:04 GMT""],[""server"",""Akamai Resource Optimizer""],[""x-frame-options"",""SAMEORIGIN""],[""x-ncl-slog"",""(null)""],[""content-length"",""1148""],[""cache-control"",""max-age=2592000""],[""expires"",""Fri, 13 Aug 2021 05:22:51 GMT""],[""date"",""Wed, 14 Jul 2021 05:22:51 GMT""],[""set-cookie"",""optimizelyEndUserId=2f9511602b430000ab74ee605d000000d4a70000; expires=Mon, 10-Jan-2022 05:22:51 GMT; path=/; domain=.ncl.com; secure; SameSite=None""],[""server-timing"",""cdn-cache; desc=HIT, edge; dur=1""],[""access-control-max-age"",""86400""],[""access-control-allow-credentials"",""false""],[""access-control-allow-headers"",""*""],[""access-control-allow-methods"",""GET,POST""],[""access-control-allow-origin"",""*""],[""strict-transport-security"",""max-age=31536000 ; includeSubDomains ; preload""],[""X-Firefox-Spdy"",""h2""]]",22,,2021-07-14T05:22:52.526Z,bbcddf09d9eb9ba8a783914fd92e403225ae073d95919c47088d263fe1c26c37
4,5,0,718011058,3440779644236795,4cd3ee81-0a00-49bf-9a96-90f307a91abb,92,1.0,1,0,https://www.ncl.com/assets/v1/images/logos/logo-ncl-black.svg,GET,200,HTTP/2.0 200 OK,0,"[[""content-type"",""image/svg+xml""],[""accept-ranges"",""bytes""],[""content-encoding"",""br""],[""last-modified"",""Sat, 10 Jul 2021 21:21:38 GMT""],[""server"",""Akamai Resource Optimizer""],[""x-frame-options"",""SAMEORIGIN""],[""x-ncl-slog"",""(null)""],[""content-length"",""3899""],[""cache-control"",""max-age=2592000""],[""expires"",""Fri, 13 Aug 2021 05:22:51 GMT""],[""date"",""Wed, 14 Jul 2021 05:22:51 GMT""],[""set-cookie"",""optimizelyEndUserId=2f9511602b430000ab74ee605d000000d4a70000; expires=Mon, 10-Jan-2022 05:22:51 GMT; path=/; domain=.ncl.com; secure; SameSite=None""],[""server-timing"",""cdn-cache; desc=HIT, edge; dur=1""],[""access-control-max-age"",""86400""],[""access-control-allow-credentials"",""false""],[""access-control-allow-headers"",""*""],[""access-control-allow-methods"",""GET,POST""],[""access-control-allow-origin"",""*""],[""strict-transport-security"",""max-age=31536000 ; includeSubDomains ; preload""],[""X-Firefox-Spdy"",""h2""]]",23,,2021-07-14T05:22:52.577Z,e169ada715dcc9dce1c662f3bb5f122600975a3ac8a590027375007ece3bad58
5,6,0,718011058,3440779644236795,4cd3ee81-0a00-49bf-9a96-90f307a91abb,93,1.0,1,0,https://www.ncl.com/static/images/anime/ajax-loading.gif,GET,200,HTTP/2.0 200 OK,0,"[[""last-modified"",""Mon, 05 Jul 2021 10:00:08 GMT""],[""server"",""Akamai Image Manager""],[""content-length"",""5452""],[""content-type"",""image/gif""],[""cache-control"",""private, no-transform, max-age=1830944""],[""expires"",""Wed, 04 Aug 2021 09:58:36 GMT""],[""date"",""Wed, 14 Jul 2021 05:22:52 GMT""],[""set-cookie"",""optimizelyEndUserId=2f9511602b430000ab74ee605d000000d4a70000; expires=Mon, 10-Jan-2022 05:22:52 GMT; path=/; domain=.ncl.com; secure; SameSite=None""],[""server-timing"",""cdn-cache; desc=HIT, edge; dur=1""],[""access-control-max-age"",""86400""],[""access-control-allow-credentials"",""false""],[""access-control-allow-headers"",""*""],[""access-control-allow-methods"",""GET,POST""],[""access-control-allow-origin"",""*""],[""strict-transport-security"",""max-age=31536000 ; includeSubDomains ; preload""],[""X-Firefox-Spdy"",""h2""]]",24,,2021-07-14T05:22:52.589Z,89b1f4f9c75f17f667d3034ce0635fa43435c25b8a2c8ea21a5dad6290d6a621
6,7,0,718011058,3440779644236795,4cd3ee81-0a00-49bf-9a96-90f307a91abb,94,1.0,1,0,https://www.ncl.com/static/images/icons/triangle-info-yellow.png,GET,200,HTTP/2.0 200 OK,0,"[[""last-modified"",""Mon, 05 Jul 2021 10:05:57 GMT""],[""server"",""Akamai Image Manager""],[""content-length"",""468""],[""content-type"",""image/png""],[""cache-control"",""private, no-transform, max-age=1831392""],[""expires"",""Wed, 04 Aug 2021 10:06:04 GMT""],[""date"",""Wed, 14 Jul 2021 05:22:52 GMT""],[""set-cookie"",""optimizelyEndUserId=2f9511602b430000ab74ee605d000000d4a70000; expires=Mon, 10-Jan-2022 05:22:52 GMT; path=/; domain=.ncl.com; secure; SameSite=None""],[""server-timing"",""cdn-cache; desc=HIT, edge; dur=1""],[""access-control-max-age"",""86400""],[""access-control-allow-credentials"",""false""],[""access-control-allow-headers"",""*""],[""access-control-allow-methods"",""GET,POST""],[""access-control-allow-origin"",""*""],[""strict-transport-security"",""max-age=31536000 ; includeSubDomains ; preload""],[""X-Firefox-Spdy"",""h2""]]",25,,2021-07-14T05:22:52.645Z,0b6bdeadfe01eb601e2fc71582c8f379f3d852723a06d3b1effe4a562dcecdde
7,8,0,718011058,3440779644236795,4cd3ee81-0a00-49bf-9a96-90f307a91abb,95,1.0,1,0,https://www.ncl.com/akam/11/7b40477c,GET,200,HTTP/2.0 200 OK,0,"[[""last-modified"",""Thu, 02 May 2019 20:06:04 GMT""],[""etag"",""\""f74b4579b09451b40f3f96dda8e4b175f31be5f683c5cdef6970a67d67f46ffd\""""],[""content-type"",""application/javascript""],[""content-encoding"",""gzip""],[""content-length"",""10485""],[""expires"",""Wed, 14 Jul 2021 05:22:52 GMT""],[""cache-control"",""max-age=0, no-cache, no-store""],[""pragma"",""no-cache""],[""date"",""Wed, 14 Jul 2021 05:22:52 GMT""],[""vary"",""Accept-Encoding""],[""server-timing"",""cdn-cache; desc=HIT, edge; dur=103""],[""access-control-max-age"",""86400""],[""access-control-allow-credentials"",""false""],[""access-control-allow-headers"",""*""],[""access-control-allow-methods"",""GET,POST""],[""access-control-allow-origin"",""*""],[""strict-transport-security"",""max-age=31536000 ; includeSubDomains ; preload""],[""set-cookie"",""optimizelyEndUserId=2f9511602b430000ab74ee605d000000d4a70000; expires=Mon, 10-Jan-2022 05:22:52 GMT; path=/; domain=.ncl.com; secure; SameSite=None\nak_bmsc=84B2D3DB7BE19F9BF7084CCA25F4396F~000000000000000000000000000000~YAAQL5URYCjrVpt6AQAAK8B3owwEVXQXUXFEA6F9hLMdQ+5bQg3LR2T6067wsDrS5DrpMS5PA4n1eqlvZh3gT7lOKbjNivI7pv66CFy4BuJssRUSJ06o3tbCVVRAkSUi6ZGIu8XeXq+C2+zFFEfDCNtMtlShuRgJQ3vqHLYisBfwe2gHB7Z7kzJx4oteh1ceQy/3oKRIqryPU0aWKld7cOHSoe70/F1T5nIE1XjFAnkCBcAJkuRGzD63tXZvTF2jEBM2enhL5Qrp6rvFuYBOL7dqISrxg8yvZBDlMzFdIWa+LdKdAeyO7YciEMNAXbc1yC2PRH3dKPLsVGIHcu85WlQG/+NULQW50BJDPuB4AWSxAXj6hx/gjHj6fjeE5NSBPl0i+Wh1xPvTdi6HZnKSGSBOfHCmJg3h0C2zVKWW8pzi7ZTVoZx7KlOalb9w/YpMJi12jmuQTMzRzZHdSQ1IbuhVC63E5+5PmB6z; Domain=.ncl.com; Path=/; Expires=Wed, 14 Jul 2021 07:22:51 GMT; Max-Age=7199; HttpOnly""],[""X-Firefox-Spdy"",""h2""]]",21,,2021-07-14T05:22:52.709Z,f646548caa80e114c33a2ce1b7e5b37ac910ddbb498b9c0adb66c7e27297f143
8,9,0,718011058,3440779644236795,4cd3ee81-0a00-49bf-9a96-90f307a91abb,96,1.0,1,0,https://www.ncl.com/sites/default/files/styles/4d-cntdwn-ds-062920.js,GET,200,HTTP/2.0 200 OK,0,"[[""content-type"",""text/javascript""],[""accept-ranges"",""bytes""],[""content-encoding"",""br""],[""d-cacheable"",""NOCACHEDRUPAL""],[""last-modified"",""Sat, 10 Jul 2021 21:31:57 GMT""],[""server"",""Akamai Resource Optimizer""],[""x-frame-options"",""SAMEORIGIN""],[""x-ncl-slog"",""(null)""],[""content-length"",""522""],[""cache-control"",""max-age=2592000""],[""expires"",""Fri, 13 Aug 2021 05:22:52 GMT""],[""date"",""Wed, 14 Jul 2021 05:22:52 GMT""],[""set-cookie"",""optimizelyEndUserId=2f9511602b430000ab74ee605d000000d4a70000; expires=Mon, 10-Jan-2022 05:22:52 GMT; path=/; domain=.ncl.com; secure; SameSite=None""],[""server-timing"",""cdn-cache; desc=HIT, edge; dur=1""],[""access-control-max-age"",""86400""],[""access-control-allow-credentials"",""false""],[""access-control-allow-headers"",""*""],[""access-control-allow-methods"",""GET,POST""],[""access-control-allow-origin"",""*""],[""strict-transport-security"",""max-age=31536000 ; includeSubDomains ; preload""],[""X-Firefox-Spdy"",""h2""]]",31,,2021-07-14T05:22:52.768Z,dff5ea93e620ec1486d114e5b76422582891df629367d3e7cf7ff4194b497ce6
9,10,0,718011058,3440779644236795,4cd3ee81-0a00-49bf-9a96-90f307a91abb,97,1.0,1,0,https://www.ncl.com/static/styles/compatibility.css?v=1626184979267,GET,200,HTTP/2.0 200 OK,0,"[[""content-type"",""text/css""],[""accept-ranges"",""bytes""],[""content-encoding"",""br""],[""last-modified"",""Tue, 13 Jul 2021 14:38:41 GMT""],[""server"",""Akamai Resource Optimizer""],[""x-frame-options"",""SAMEORIGIN""],[""x-ncl-slog"",""(null)""],[""content-length"",""120383""],[""cache-control"",""max-age=2592000""],[""expires"",""Fri, 13 Aug 2021 05:22:51 GMT""],[""date"",""Wed, 14 Jul 2021 05:22:51 GMT""],[""set-cookie"",""optimizelyEndUserId=2f9511602b430000ab74ee605d000000d4a70000; expires=Mon, 10-Jan-2022 05:22:51 GMT; path=/; domain=.ncl.com; secure; SameSite=None""],[""server-timing"",""cdn-cache; desc=HIT, edge; dur=1""],[""access-control-max-age"",""86400""],[""access-control-allow-credentials"",""false""],[""access-control-allow-headers"",""*""],[""access-control-allow-methods"",""GET,POST""],[""access-control-allow-origin"",""*""],[""strict-transport-security"",""max-age=31536000 ; includeSubDomains ; preload""],[""X-Firefox-Spdy"",""h2""]]",15,,2021-07-14T05:22:52.867Z,f2612ed7a47efa2644a121ff2510d96e7f531044288c5c056630b797463d075f
