index,browser_id,visit_id,command,arguments,retry_number,command_status,error,traceback,duration,dtg
23,718011058,4463775067644732,ScrollUp,"{""logger"": ""<Logger scrollUp (WARNING)>"", ""visit_id"": 4463775067644732, ""browser_id"": 718011058, ""start_time"": 1626241148.8427665}",,ok,,,61023,2021-07-14 05:40:09
24,718011058,4463775067644732,GetHBJson,"{""logger"": ""<Logger openwpm (DEBUG)>"", ""n"": 3, ""visit_id"": 4463775067644732, ""browser_id"": 718011058, ""start_time"": 1626241209.866442}",,ok,,,30431,2021-07-14 05:40:40
25,718011058,4463775067644732,GetHBAds,"{""logger"": ""<Logger openwpm (DEBUG)>"", ""n"": 3, ""visit_id"": 4463775067644732, ""browser_id"": 718011058, ""start_time"": 1626241240.2983031}",,ok,,,1,2021-07-14 05:40:40
26,718011058,4463775067644732,FinalizeCommand,"{""sleep"": 5, ""visit_id"": 4463775067644732, ""browser_id"": 718011058, ""start_time"": 1626241240.2994382}",,ok,,,6573,2021-07-14 05:40:46
27,718011058,7930164925808261,InitializeCommand,"{""visit_id"": 7930164925808261, ""browser_id"": 718011058, ""start_time"": 1626241248.9352703}",,ok,,,12,2021-07-14 05:40:48
28,718011058,7930164925808261,GetCommand,"{""url"": ""http://www.thecrazytourist.com"", ""sleep"": 60, ""visit_id"": 7930164925808261, ""browser_id"": 718011058, ""start_time"": 1626241248.947825}",,ok,,,75886,2021-07-14 05:42:04
29,718011058,7930164925808261,ScrollDown,"{""logger"": ""<Logger scrollDown (WARNING)>"", ""visit_id"": 7930164925808261, ""browser_id"": 718011058, ""start_time"": 1626241324.8344398}",,ok,,,66775,2021-07-14 05:43:11
30,718011058,7930164925808261,ScrollUp,"{""logger"": ""<Logger scrollUp (WARNING)>"", ""visit_id"": 7930164925808261, ""browser_id"": 718011058, ""start_time"": 1626241391.6103365}",,ok,,,65270,2021-07-14 05:44:16
31,718011058,7930164925808261,GetHBJson,"{""logger"": ""<Logger openwpm (DEBUG)>"", ""n"": 4, ""visit_id"": 7930164925808261, ""browser_id"": 718011058, ""start_time"": 1626241456.8812625}",,ok,,,30080,2021-07-14 05:44:46
32,718011058,7930164925808261,GetHBAds,"{""logger"": ""<Logger openwpm (DEBUG)>"", ""n"": 4, ""visit_id"": 7930164925808261, ""browser_id"": 718011058, ""start_time"": 1626241486.9622896}",,ok,,,2,2021-07-14 05:44:46
33,718011058,7930164925808261,FinalizeCommand,"{""sleep"": 5, ""visit_id"": 7930164925808261, ""browser_id"": 718011058, ""start_time"": 1626241486.9645572}",,ok,,,6087,2021-07-14 05:44:53
